,Unnamed: 0,stars,date,business_id
0,0,4,2012-08-01,5UmKMjUEUNdYWqANhGckJw
1,1,5,2015-10-31,5UmKMjUEUNdYWqANhGckJw
2,2,5,2014-02-13,5UmKMjUEUNdYWqANhGckJw
3,3,1,2014-10-29,UsFtqoBl7naz8AVUBZMjQQ
4,4,5,2013-11-08,UsFtqoBl7naz8AVUBZMjQQ
5,5,3,2014-03-29,UsFtqoBl7naz8AVUBZMjQQ
6,6,4,2014-11-28,UsFtqoBl7naz8AVUBZMjQQ
7,7,5,2015-06-16,3eu6MEFlq2Dg7bQh8QbdOg
8,8,3,2012-08-19,cE27W9VPgO88Qxe4ol6y_g
9,9,5,2014-02-27,3eu6MEFlq2Dg7bQh8QbdOg
10,10,1,2013-04-18,cE27W9VPgO88Qxe4ol6y_g
11,11,1,2013-07-14,cE27W9VPgO88Qxe4ol6y_g
12,12,4,2013-08-16,cE27W9VPgO88Qxe4ol6y_g
13,13,4,2014-07-11,cE27W9VPgO88Qxe4ol6y_g
14,14,5,2013-06-10,HZdLhv6COCleJMo7nPl-RA
15,15,2,2013-12-23,HZdLhv6COCleJMo7nPl-RA
16,16,4,2014-09-04,HZdLhv6COCleJMo7nPl-RA
17,17,1,2015-05-06,HZdLhv6COCleJMo7nPl-RA
18,18,1,2015-11-02,HZdLhv6COCleJMo7nPl-RA
19,19,5,2013-03-15,mVHrayjG3uZ_RLHkLj-AMg
20,20,5,2012-12-01,mVHrayjG3uZ_RLHkLj-AMg
21,21,5,2013-03-30,mVHrayjG3uZ_RLHkLj-AMg
22,22,5,2013-11-07,mVHrayjG3uZ_RLHkLj-AMg
23,23,4,2013-10-20,mVHrayjG3uZ_RLHkLj-AMg
24,24,5,2014-05-01,mVHrayjG3uZ_RLHkLj-AMg
25,25,5,2014-03-22,mVHrayjG3uZ_RLHkLj-AMg
26,26,4,2014-09-29,mVHrayjG3uZ_RLHkLj-AMg
27,27,4,2015-03-08,mVHrayjG3uZ_RLHkLj-AMg
28,28,4,2014-12-18,mVHrayjG3uZ_RLHkLj-AMg
29,29,5,2015-03-06,mVHrayjG3uZ_RLHkLj-AMg
30,30,5,2014-11-03,mVHrayjG3uZ_RLHkLj-AMg
31,31,4,2015-03-16,mVHrayjG3uZ_RLHkLj-AMg
32,32,5,2015-07-02,mVHrayjG3uZ_RLHkLj-AMg
33,33,5,2015-12-04,mVHrayjG3uZ_RLHkLj-AMg
34,34,5,2015-12-15,mVHrayjG3uZ_RLHkLj-AMg
35,35,5,2015-11-06,mVHrayjG3uZ_RLHkLj-AMg
